,Id,MSSubClass,LotFrontage,LotArea,Alley,LotShape,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
0,1,60,65.0,8450,,Reg,Gtl,CollgCr,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,Ex,Y,856,854,0,1710,1.0,0.0,2,1,3,1,Gd,Typ,0,,Attchd,2003.0,RFn,548.0,TA,TA,0,61,0,0,0,0,,,,0,2,2008,208500.0
1,2,20,80.0,9600,,Reg,Gtl,Veenker,1Story,6,8,1976,1976,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,Ex,Y,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,Typ,1,TA,Attchd,1976.0,RFn,460.0,TA,TA,298,0,0,0,0,0,,,,0,5,2007,181500.0
2,3,60,68.0,11250,,IR1,Gtl,CollgCr,2Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,Ex,Y,920,866,0,1786,1.0,0.0,2,1,3,1,Gd,Typ,1,TA,Attchd,2001.0,RFn,608.0,TA,TA,0,42,0,0,0,0,,,,0,9,2008,223500.0
3,4,70,60.0,9550,,IR1,Gtl,Crawfor,2Story,7,5,1915,1970,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,Gd,Y,961,756,0,1717,1.0,0.0,1,0,3,1,Gd,Typ,1,Gd,Detchd,1998.0,Unf,642.0,TA,TA,0,35,272,0,0,0,,,,0,2,2006,140000.0
4,5,60,84.0,14260,,IR1,Gtl,NoRidge,2Story,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,Ex,Y,1145,1053,0,2198,1.0,0.0,2,1,4,1,Gd,Typ,1,TA,Attchd,2000.0,RFn,836.0,TA,TA,192,84,0,0,0,0,,,,0,12,2008,250000.0
5,6,50,85.0,14115,,IR1,Gtl,Mitchel,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,Ex,Y,796,566,0,1362,1.0,0.0,1,1,1,1,TA,Typ,0,,Attchd,1993.0,Unf,480.0,TA,TA,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,143000.0
6,7,20,75.0,10084,,Reg,Gtl,Somerst,1Story,8,5,2004,2005,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,Ex,Y,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,Typ,1,Gd,Attchd,2004.0,RFn,636.0,TA,TA,255,57,0,0,0,0,,,,0,8,2007,307000.0
7,8,60,,10382,,IR1,Gtl,NWAmes,2Story,7,6,1973,1973,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,Ex,Y,1107,983,0,2090,1.0,0.0,2,1,3,1,TA,Typ,2,TA,Attchd,1973.0,RFn,484.0,TA,TA,235,204,228,0,0,0,,,Shed,350,11,2009,200000.0
8,9,50,51.0,6120,,Reg,Gtl,OldTown,1.5Fin,7,5,1931,1950,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,Gd,Y,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,Min1,2,TA,Detchd,1931.0,Unf,468.0,Fa,TA,90,0,205,0,0,0,,,,0,4,2008,129900.0
9,10,190,50.0,7420,,Reg,Gtl,BrkSide,1.5Unf,5,6,1939,1950,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,Ex,Y,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,Typ,2,TA,Attchd,1939.0,RFn,205.0,Gd,TA,0,4,0,0,0,0,,,,0,1,2008,118000.0
