Id,MSSubClass,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,GarageFinish,GarageCars,GarageArea,EnclosedPorch,YrSold,SalePrice
1,60,CollgCr,7,5,2003,2003,Gd,Gd,856,856,1710,2,1,Gd,RFn,2,548,0,2008,208500
2,20,Veenker,6,8,1976,1976,TA,Gd,1262,1262,1262,2,1,TA,RFn,2,460,0,2007,181500
3,60,CollgCr,7,5,2001,2002,Gd,Gd,920,920,1786,2,1,Gd,RFn,2,608,0,2008,223500
4,70,Crawfor,7,5,1915,1970,TA,TA,756,961,1717,1,1,Gd,Unf,3,642,272,2006,140000
5,60,NoRidge,8,5,2000,2000,Gd,Gd,1145,1145,2198,2,1,Gd,RFn,3,836,0,2008,250000
6,50,Mitchel,5,5,1993,1995,TA,Gd,796,796,1362,1,1,TA,Unf,2,480,0,2009,143000
7,20,Somerst,8,5,2004,2005,Gd,Ex,1686,1694,1694,2,1,Gd,RFn,2,636,0,2007,307000
8,60,NWAmes,7,6,1973,1973,TA,Gd,1107,1107,2090,2,1,TA,RFn,2,484,228,2009,200000
9,50,OldTown,7,5,1931,1950,TA,TA,952,1022,1774,2,2,TA,Unf,2,468,205,2008,129900
10,190,BrkSide,5,6,1939,1950,TA,TA,991,1077,1077,1,2,TA,RFn,1,205,0,2008,118000
11,20,Sawyer,5,5,1965,1965,TA,TA,1040,1040,1040,1,1,TA,Unf,1,384,0,2008,129500
12,60,NridgHt,9,5,2005,2006,Ex,Ex,1175,1182,2324,3,1,Ex,Fin,3,736,0,2006,345000
13,20,Sawyer,5,6,1962,1962,TA,TA,912,912,912,1,1,TA,Unf,1,352,0,2008,144000
14,20,CollgCr,7,5,2006,2007,Gd,Gd,1494,1494,1494,2,1,Gd,RFn,3,840,0,2007,279500
15,20,NAmes,6,5,1960,1960,TA,TA,1253,1253,1253,1,1,TA,RFn,1,352,176,2008,157000
16,45,BrkSide,7,8,1929,2001,TA,TA,832,854,854,1,1,TA,Unf,2,576,0,2007,132000
17,20,NAmes,6,7,1970,1970,TA,TA,1004,1004,1004,1,1,TA,Fin,2,480,0,2010,149000
18,90,Sawyer,4,5,1967,1967,TA,NA,0,1296,1296,2,2,TA,Unf,2,516,0,2006,90000
19,20,SawyerW,5,5,2004,2004,TA,TA,1114,1114,1114,1,1,Gd,Unf,2,576,0,2008,159000
20,20,NAmes,5,6,1958,1965,TA,TA,1029,1339,1339,1,1,TA,Unf,1,294,0,2009,139000
21,60,NridgHt,8,5,2005,2006,Gd,Ex,1158,1158,2376,3,1,Gd,RFn,3,853,0,2006,325300
22,45,IDOTRR,7,7,1930,1950,TA,TA,637,1108,1108,1,1,Gd,Unf,1,280,205,2007,139400
23,20,CollgCr,8,5,2002,2002,Gd,Gd,1777,1795,1795,2,1,Gd,RFn,2,534,0,2008,230000
24,120,MeadowV,5,7,1976,1976,TA,Gd,1040,1060,1060,1,1,TA,Unf,2,572,0,2007,129900
25,20,Sawyer,5,8,1968,2001,TA,TA,1060,1060,1060,1,1,Gd,Unf,1,270,0,2010,154000
26,20,NridgHt,8,5,2007,2007,Gd,Gd,1566,1600,1600,2,1,Gd,RFn,3,890,0,2009,256300
27,20,NAmes,5,7,1951,2000,TA,TA,900,900,900,1,1,Gd,Unf,2,576,0,2010,134800
28,20,NridgHt,8,5,2007,2008,Gd,Ex,1704,1704,1704,2,1,Gd,RFn,3,772,0,2010,306000
29,20,NAmes,5,6,1957,1997,TA,TA,1484,1600,1600,1,1,TA,RFn,1,319,0,2006,207500
30,30,BrkSide,4,6,1927,1950,TA,TA,520,520,520,1,1,Fa,Unf,1,240,87,2008,68500
31,70,IDOTRR,4,4,1920,1950,TA,TA,649,649,1317,1,1,TA,Unf,1,250,172,2008,40000
32,20,Sawyer,5,6,1966,2006,TA,TA,1228,1228,1228,1,1,Gd,Unf,1,271,0,2008,149350
33,20,CollgCr,8,5,2007,2007,Gd,Ex,1234,1234,1234,2,1,Gd,RFn,2,484,0,2008,179900
34,20,NAmes,5,5,1959,1959,TA,TA,1398,1700,1700,1,1,Gd,RFn,2,447,0,2010,165500
35,120,NridgHt,9,5,2005,2005,Ex,Ex,1561,1561,1561,2,1,Ex,Fin,2,556,0,2007,277500
36,60,NridgHt,8,5,2004,2005,Gd,Ex,1117,1132,2452,3,1,Gd,Fin,3,691,0,2006,309000
37,20,CollgCr,5,5,1994,1995,TA,Gd,1097,1097,1097,1,1,TA,Unf,2,672,0,2009,145000
38,20,NAmes,5,6,1954,1990,TA,TA,1297,1297,1297,1,1,TA,Fin,2,498,0,2009,153000
39,20,NAmes,5,7,1953,2007,TA,TA,1057,1057,1057,1,1,Gd,Unf,1,246,0,2010,109000
40,90,Edwards,4,5,1955,1955,TA,NA,0,1152,1152,2,2,Fa,NA,0,0,0,2008,82000
41,20,NAmes,6,5,1965,1965,TA,TA,1088,1324,1324,2,1,TA,RFn,2,440,0,2006,160000
42,20,Timber,5,6,1959,1959,TA,TA,1350,1328,1328,1,1,TA,RFn,1,308,0,2007,170000
43,85,SawyerW,5,7,1983,1983,TA,Gd,840,884,884,1,1,Gd,RFn,2,504,0,2007,144000
44,20,CollgCr,5,6,1975,1980,TA,Gd,938,938,938,1,1,TA,Unf,1,308,0,2008,130250
45,20,NAmes,5,6,1959,1959,TA,TA,1150,1150,1150,1,1,TA,RFn,1,300,0,2006,141000
46,120,NridgHt,9,5,2005,2005,Ex,Ex,1752,1752,1752,2,1,Ex,RFn,2,576,0,2010,319900
47,50,Mitchel,7,5,2003,2003,Gd,Ex,1434,1518,2149,1,1,Gd,RFn,2,670,0,2009,239686
48,20,Somerst,8,5,2006,2006,Gd,Gd,1656,1656,1656,2,1,Gd,RFn,3,826,0,2007,249700
49,190,OldTown,4,5,1920,2008,TA,TA,736,736,1452,2,3,TA,NA,0,0,102,2009,113000
50,20,Sawyer,5,7,1966,1966,TA,TA,955,955,955,1,1,TA,Unf,1,386,0,2007,127000
51,60,Gilbert,6,6,1997,1997,TA,Gd,794,794,1470,2,1,TA,Fin,2,388,0,2007,177000
52,50,BrkSide,6,6,1934,1950,TA,TA,816,816,1176,1,1,TA,Unf,2,528,0,2006,114500
53,90,IDOTRR,5,5,1963,1963,Fa,Gd,816,816,816,1,1,TA,Unf,2,516,0,2010,110000
54,20,Veenker,9,5,1981,1987,Gd,Ex,1842,1842,1842,0,1,Gd,Fin,3,894,0,2006,385000
55,80,NAmes,5,5,1955,1955,TA,TA,384,1360,1360,1,1,TA,Unf,2,572,0,2007,130000
56,20,NAmes,6,5,1964,1964,TA,TA,1425,1425,1425,2,1,TA,RFn,2,576,0,2008,180500
57,160,Somerst,8,5,1999,2000,Gd,Gd,970,983,1739,2,1,Gd,Fin,2,480,0,2009,172500
58,60,CollgCr,7,5,2004,2004,Gd,Gd,860,860,1720,2,1,Gd,RFn,2,565,0,2006,196500
59,60,StoneBr,10,5,2006,2006,Ex,Ex,1410,1426,2945,3,1,Gd,Fin,3,641,37,2006,438780
60,20,CollgCr,5,7,1972,1972,TA,TA,780,780,780,1,1,TA,Unf,1,352,0,2008,124900
61,20,SawyerW,6,5,2004,2004,TA,Gd,1158,1158,1158,1,1,Gd,Unf,2,576,0,2006,158000
62,75,IDOTRR,5,7,1920,1996,TA,TA,530,581,1111,1,1,Fa,Unf,1,288,144,2007,101000
63,120,NridgHt,8,5,2006,2006,Gd,Gd,1370,1370,1370,2,1,Gd,RFn,2,484,0,2007,202500
64,70,OldTown,7,6,1921,1950,TA,TA,576,902,1710,2,1,TA,Unf,2,480,64,2010,140000
65,60,CollgCr,7,5,1997,1998,TA,Gd,1057,1057,2034,2,1,Gd,RFn,2,645,0,2009,219500
66,60,NridgHt,8,5,2004,2005,Gd,Ex,1143,1143,2473,2,1,Gd,RFn,3,852,0,2007,317000
67,20,NAmes,7,5,1970,1989,TA,Gd,1947,2207,2207,2,1,TA,RFn,2,576,0,2010,180000
68,20,CollgCr,7,5,2003,2003,Gd,Gd,1453,1479,1479,2,1,Gd,RFn,2,558,0,2007,226000
69,30,OldTown,4,6,1945,1950,TA,TA,747,747,747,1,1,TA,Unf,1,220,0,2010,80000
70,50,ClearCr,7,4,1953,1953,Gd,TA,1304,1304,2287,2,1,TA,Fin,2,667,114,2006,225000
71,20,NAmes,7,6,1973,1973,TA,Gd,2223,2223,2223,2,1,TA,Fin,2,516,0,2007,244000
72,20,Mitchel,4,6,1982,2006,TA,TA,845,845,845,1,1,TA,Unf,2,360,0,2007,129500
73,60,Gilbert,7,5,1998,1998,TA,Gd,832,885,1718,2,1,TA,Fin,2,427,0,2009,185000
74,20,NAmes,5,7,1954,2003,TA,TA,1086,1086,1086,1,1,TA,Unf,2,490,0,2010,144900
75,50,OldTown,3,6,1915,1950,Gd,Fa,840,840,1605,2,2,TA,Unf,1,379,202,2010,107400
76,180,MeadowV,4,5,1973,1973,TA,Gd,462,526,988,1,1,TA,Unf,1,297,0,2009,91000
77,20,NAmes,4,7,1956,1956,TA,TA,952,952,952,1,1,TA,Unf,1,283,0,2008,135750
78,50,BrkSide,5,5,1948,2001,TA,TA,672,1072,1285,1,1,TA,Unf,1,240,0,2008,127000
79,90,Sawyer,4,5,1968,1968,TA,TA,1768,1768,1768,2,2,TA,NA,0,0,0,2010,136500
